factor,factor_iri,factor_label,cfde_disease
Immune activation and signaling pathways,https://purl.org/okn/frink/kg/digcfdekg/node/factor/b75f9036f8d7364cc212,Immune activation and signaling pathways (trait context: Non-Hodgkin's lymphoma),Non-Hodgkin's lymphoma
immune cell interactions and activation,https://purl.org/okn/frink/kg/digcfdekg/node/factor/9a03afd566259fcc84ea,immune cell interactions and activation (trait context: Multiple sclerosis),Multiple sclerosis
Immune Cell Microenvironment and Tregs,https://purl.org/okn/frink/kg/digcfdekg/node/factor/02dd4c4b18a39c62c2be,Immune Cell Microenvironment and Tregs (trait context: Interstitial lung disease),Interstitial lung disease
immune cell surface markers,https://purl.org/okn/frink/kg/digcfdekg/node/factor/bfa953434d4751f81e15,immune cell surface markers (trait context: Multiple sclerosis),Multiple sclerosis
Immune cells across tissues,https://purl.org/okn/frink/kg/digcfdekg/node/factor/8d72a0800f9dbf5edf8e,Immune cells across tissues (trait context: Psoriasis),Psoriasis
Immune infiltration and signaling factors,https://purl.org/okn/frink/kg/digcfdekg/node/factor/3513a0193a13c608dac4,Immune infiltration and signaling factors (trait context: IGA glomerulonephritis),IGA glomerulonephritis
Immune Interactions and IFNG Signaling,https://purl.org/okn/frink/kg/digcfdekg/node/factor/c894be3ec2f622993938,Immune Interactions and IFNG Signaling (trait context: Atopic dermatitis),Atopic dermatitis
Immune organ morphology and mutations,https://purl.org/okn/frink/kg/digcfdekg/node/factor/30a69c4debafc3f20197,Immune organ morphology and mutations (trait context: Precursor B-cell acute lymphoblastic leukemia),Precursor B-cell acute lymphoblastic leukemia
Immune regulation and MHC II,https://purl.org/okn/frink/kg/digcfdekg/node/factor/f97a347518fdac7cdc27,Immune regulation and MHC II (trait context: Takayasu arteritis),Takayasu arteritis
Immune signaling and dendritic cells,https://purl.org/okn/frink/kg/digcfdekg/node/factor/ca49ef5cfe3c1805cad4,Immune signaling and dendritic cells (trait context: Psoriasis),Psoriasis
Immune Signaling and Phagocytosis,https://purl.org/okn/frink/kg/digcfdekg/node/factor/65360612df4e2828ad0c,Immune Signaling and Phagocytosis (trait context: COVID-19),COVID-19
Immune signaling with lymphoid abnormalities,https://purl.org/okn/frink/kg/digcfdekg/node/factor/067ac38a4fbc151c4f38,Immune signaling with lymphoid abnormalities (trait context: atopic eczema),atopic eczema
Immune System Abnormalities and Ig,https://purl.org/okn/frink/kg/digcfdekg/node/factor/3c9ec9ad1b703dddedb5,Immune System Abnormalities and Ig (trait context: childhood onset asthma),childhood onset asthma
Immune system physiology and regulation,https://purl.org/okn/frink/kg/digcfdekg/node/factor/5392b91d916e13819dd7,Immune system physiology and regulation (trait context: Psoriasis),Psoriasis
Immune tolerance and inflammatory signaling,https://purl.org/okn/frink/kg/digcfdekg/node/factor/5e5f2753c8969903743d,Immune tolerance and inflammatory signaling (trait context: Vasculitis),Vasculitis
Immune tolerance and rejection markers,https://purl.org/okn/frink/kg/digcfdekg/node/factor/667847a0d8b36bd0f02b,Immune tolerance and rejection markers (trait context: primary biliary cirrhosis),primary biliary cirrhosis
Immunoglobulin deficiency and differentiation,https://purl.org/okn/frink/kg/digcfdekg/node/factor/c69dc367ea6a16358425,Immunoglobulin deficiency and differentiation (trait context: primary biliary cirrhosis),primary biliary cirrhosis
Immunoglobulin Production and B Cells,https://purl.org/okn/frink/kg/digcfdekg/node/factor/729449b1483dd3160661,Immunoglobulin Production and B Cells (trait context: childhood onset asthma),childhood onset asthma
Impaired B cell Activation,https://purl.org/okn/frink/kg/digcfdekg/node/factor/8d2f48665c587ce36b47,Impaired B cell Activation (trait context: Primary biliary cholangitis),Primary biliary cholangitis
Impaired glucose regulation with genes,https://purl.org/okn/frink/kg/digcfdekg/node/factor/762493dc6268c98d61d2,Impaired glucose regulation with genes (trait context: Type 2 diabetes (with history of pregnancy)),Type 2 diabetes (with history of pregnancy)
Impaired inflammatory signaling; NK dysfunction,https://purl.org/okn/frink/kg/digcfdekg/node/factor/ed5c0a30dc40a64c9233,Impaired inflammatory signaling; NK dysfunction (trait context: Behet disease),Behet disease
Impaired T cell activation,https://purl.org/okn/frink/kg/digcfdekg/node/factor/bbf3d1ef5ebaeb3ed410,Impaired T cell activation (trait context: autoimmune disease),autoimmune disease
Improved glucose tolerance and sensitivity,https://purl.org/okn/frink/kg/digcfdekg/node/factor/d8a6a88daee8813483dd,Improved glucose tolerance and sensitivity (trait context: Diabetic retinopathy),Diabetic retinopathy
Increased activated T cells,https://purl.org/okn/frink/kg/digcfdekg/node/factor/d016be3d4bbd54f349f6,Increased activated T cells (trait context: type 1 diabetes mellitus),type 1 diabetes mellitus
Increased antibodies and plasma cells,https://purl.org/okn/frink/kg/digcfdekg/node/factor/61e775d25fe76dda1ee6,Increased antibodies and plasma cells (trait context: Type 1 diabetes (T1D)),Type 1 diabetes (T1D)
Increased antibodies; lupus markers,https://purl.org/okn/frink/kg/digcfdekg/node/factor/7ddf6385cbbdc5bfbca1,Increased antibodies; lupus markers (trait context: IgA nephropathy (IgAN)),IgA nephropathy (IgAN)
Increased autoantibodies and plasma cells,https://purl.org/okn/frink/kg/digcfdekg/node/factor/f9adc151bd8e90a67e6a,Increased autoantibodies and plasma cells (trait context: allergic disease),allergic disease
Increased Autoimmune Susceptibility and Humoral,https://purl.org/okn/frink/kg/digcfdekg/node/factor/c87ce6ab2e4415b688ff,Increased Autoimmune Susceptibility and Humoral (trait context: childhood onset asthma),childhood onset asthma
Increased B and T cells,https://purl.org/okn/frink/kg/digcfdekg/node/factor/159c386e977a6e711d57,Increased B and T cells (trait context: Primary biliary cholangitis),Primary biliary cholangitis
Increased B cells and immunoglobulin,https://purl.org/okn/frink/kg/digcfdekg/node/factor/6e1a26125c22894791cc,Increased B cells and immunoglobulin (trait context: IGA glomerulonephritis),IGA glomerulonephritis
Increased B-1 cells,https://purl.org/okn/frink/kg/digcfdekg/node/factor/4e28439d013483fddf68,Increased B-1 cells (trait context: autoimmune disease),autoimmune disease
Increased B-1b cell number,https://purl.org/okn/frink/kg/digcfdekg/node/factor/34158c24f9fe4761fcda,Increased B-1b cell number (trait context: Type 1 diabetes (T1D)),Type 1 diabetes (T1D)
Increased bacterial susceptibility; TNF decreased,https://purl.org/okn/frink/kg/digcfdekg/node/factor/2d39310f8847003c6e06,Increased bacterial susceptibility; TNF decreased (trait context: IgA nephropathy (IgAN)),IgA nephropathy (IgAN)
Increased cancer incidence and genes,https://purl.org/okn/frink/kg/digcfdekg/node/factor/b9b852173a0fff09ac73,Increased cancer incidence and genes (trait context: Precursor B-cell acute lymphoblastic leukemia),Precursor B-cell acute lymphoblastic leukemia
Increased Circulating Glucose Level,https://purl.org/okn/frink/kg/digcfdekg/node/factor/656001fedbdb3d2f6424,Increased Circulating Glucose Level (trait context: Type 2 diabetes with ophthalmic manifestations),Type 2 diabetes with ophthalmic manifestations
Increased circulating triglycerides and glucagon,https://purl.org/okn/frink/kg/digcfdekg/node/factor/5a13fe51bbf610acc0c1,Increased circulating triglycerides and glucagon (trait context: Diabetic retinopathy),Diabetic retinopathy
Increased fat cell size,https://purl.org/okn/frink/kg/digcfdekg/node/factor/6a0bd19097a4c2a36d14,Increased fat cell size (trait context: Diabetic retinopathy),Diabetic retinopathy
Increased gastrointestinal tumor incidence,https://purl.org/okn/frink/kg/digcfdekg/node/factor/fd5b2713262a641a58f1,Increased gastrointestinal tumor incidence (trait context: Type 2 diabetes with peripheral circulatory manifestations),Type 2 diabetes with peripheral circulatory manifestations
Increased GI cancers and MMR,https://purl.org/okn/frink/kg/digcfdekg/node/factor/8e8cf2c59e72b96a9669,Increased GI cancers and MMR (trait context: Lynch syndrome),Lynch syndrome
Increased glucose with impaired tolerance,https://purl.org/okn/frink/kg/digcfdekg/node/factor/3481e4c78461eda7ba69,Increased glucose with impaired tolerance (trait context: Diabetic retinopathy),Diabetic retinopathy
Increased glucose with insulin resistance,https://purl.org/okn/frink/kg/digcfdekg/node/factor/6d742d0c76db175aec22,Increased glucose with insulin resistance (trait context: Type 2 diabetes (T2D) adj BMI),Type 2 diabetes (T2D) adj BMI
Increased granulocytes and leukemia risk,https://purl.org/okn/frink/kg/digcfdekg/node/factor/e72abf226a92a58d5861,Increased granulocytes and leukemia risk (trait context: Type 1 diabetes (T1D)),Type 1 diabetes (T1D)
Increased granulocytes/macrophages; reduced lymphocytes,https://purl.org/okn/frink/kg/digcfdekg/node/factor/35335b64e972d48f4690,Increased granulocytes/macrophages; reduced lymphocytes (trait context: IgA nephropathy (IgAN)),IgA nephropathy (IgAN)
Increased HSC number and leukemia,https://purl.org/okn/frink/kg/digcfdekg/node/factor/55f2a868396986da2064,Increased HSC number and leukemia (trait context: Acute myeloid leukemia),Acute myeloid leukemia
increased immunoglobulin and T cells,https://purl.org/okn/frink/kg/digcfdekg/node/factor/eff34637ebcb1331edad,increased immunoglobulin and T cells (trait context: Multiple sclerosis),Multiple sclerosis
Increased Immunoglobulin Levels,https://purl.org/okn/frink/kg/digcfdekg/node/factor/a6f3ca9130961562e437,Increased Immunoglobulin Levels (trait context: Primary biliary cholangitis),Primary biliary cholangitis
Increased Immunoglobulins and Plasma Cells,https://purl.org/okn/frink/kg/digcfdekg/node/factor/cc1ad9c09fcb70c1ad72,Increased Immunoglobulins and Plasma Cells (trait context: Atopic dermatitis),Atopic dermatitis
Increased immunoglobulins and T cells,https://purl.org/okn/frink/kg/digcfdekg/node/factor/9459c35720d1289a4c5a,Increased immunoglobulins and T cells (trait context: psoriasis),psoriasis
Increased Insulin Secretion,https://purl.org/okn/frink/kg/digcfdekg/node/factor/c2915028ba0c31d0a0c7,Increased Insulin Secretion (trait context: Type 2 diabetes with ophthalmic manifestations),Type 2 diabetes with ophthalmic manifestations
Increased leukemia and stem cells,https://purl.org/okn/frink/kg/digcfdekg/node/factor/41b7602b55f8dfa0b830,Increased leukemia and stem cells (trait context: Acute myeloid leukemia),Acute myeloid leukemia
Increased leukemia and tumors,https://purl.org/okn/frink/kg/digcfdekg/node/factor/6eb61172409bcd65866d,Increased leukemia and tumors (trait context: Acute lymphoblastic leukemia),Acute lymphoblastic leukemia
Increased leukemia incidence and hyperpigmentation,https://purl.org/okn/frink/kg/digcfdekg/node/factor/33d6cc164c52d42ef904,Increased leukemia incidence and hyperpigmentation (trait context: Lymphoma),Lymphoma
Increased leukemia with myeloid hyperplasia,https://purl.org/okn/frink/kg/digcfdekg/node/factor/6b2e876b96cc21343d0c,Increased leukemia with myeloid hyperplasia (trait context: Acute lymphoblastic leukemia),Acute lymphoblastic leukemia
Increased lupus susceptibility and infections,https://purl.org/okn/frink/kg/digcfdekg/node/factor/cce3b8c53c00991c3612,Increased lupus susceptibility and infections (trait context: inflammatory bowel disease),inflammatory bowel disease
Increased muscle fiber size variability,https://purl.org/okn/frink/kg/digcfdekg/node/factor/c051d9c6eb21f295dacd,Increased muscle fiber size variability (trait context: Dilated cardiomyopathy; broad definition),Dilated cardiomyopathy; broad definition
Increased T and B cells,https://purl.org/okn/frink/kg/digcfdekg/node/factor/906e33d217c182104826,Increased T and B cells (trait context: autoimmune disease),autoimmune disease
Increased T and B cells,https://purl.org/okn/frink/kg/digcfdekg/node/factor/54eecf3fd423a660deff,Increased T and B cells (trait context: Primary sclerosing cholangitis),Primary sclerosing cholangitis
Increased Thyroid Carcinoma Incidence,https://purl.org/okn/frink/kg/digcfdekg/node/factor/9218173d655a42d51747,Increased Thyroid Carcinoma Incidence (trait context: Diabetic retinopathy (DR) vs no DR acct DoD-GC),Diabetic retinopathy (DR) vs no DR acct DoD-GC
Increased TNF; reduced B cells,https://purl.org/okn/frink/kg/digcfdekg/node/factor/a91ba412999320064261,Increased TNF; reduced B cells (trait context: IgA nephropathy (IgAN)),IgA nephropathy (IgAN)
Increased transitional B cell number,https://purl.org/okn/frink/kg/digcfdekg/node/factor/770f18e6ef1c848a244e,Increased transitional B cell number (trait context: systemic lupus erythematosus),systemic lupus erythematosus
Increased transitional B cells,https://purl.org/okn/frink/kg/digcfdekg/node/factor/3b3b5a9306541e180884,Increased transitional B cells (trait context: systemic lupus erythematosus),systemic lupus erythematosus
Increased TSH and thyroid development,https://purl.org/okn/frink/kg/digcfdekg/node/factor/5468db611ff110ba5e9f,Increased TSH and thyroid development (trait context: Congenital hypothyroidism),Congenital hypothyroidism
Infection Susceptibility and Inflammation,https://purl.org/okn/frink/kg/digcfdekg/node/factor/3504b2eedefd80d406e0,Infection Susceptibility and Inflammation (trait context: Interstitial lung disease),Interstitial lung disease
Infigratinib,https://purl.org/okn/frink/kg/digcfdekg/node/factor/60a8703052629bb3251d,Infigratinib (trait context: Non-Hodgkin lymphoma),Non-Hodgkin lymphoma
Inflammation and immune signaling,https://purl.org/okn/frink/kg/digcfdekg/node/factor/da80b3f299f6fadab388,Inflammation and immune signaling (trait context: Inflammatory bowel disease (IBD)),Inflammatory bowel disease (IBD)
Inflammation signals and lymphocyte genes,https://purl.org/okn/frink/kg/digcfdekg/node/factor/3f7b6e047746bbde790b,Inflammation signals and lymphocyte genes (trait context: primary biliary cirrhosis),primary biliary cirrhosis
Inflammation with IFN-gamma and IL-1beta,https://purl.org/okn/frink/kg/digcfdekg/node/factor/b815c8a830ef1ba3d76a,Inflammation with IFN-gamma and IL-1beta (trait context: Inflammatory bowel disease (IBD)),Inflammatory bowel disease (IBD)
Inflammatory Bowel Disease and Immunity,https://purl.org/okn/frink/kg/digcfdekg/node/factor/2de5cac1b408932b24d2,Inflammatory Bowel Disease and Immunity (trait context: Interstitial lung disease),Interstitial lung disease
Inflammatory bowel disease and Th2,https://purl.org/okn/frink/kg/digcfdekg/node/factor/bd3975525c6fbc1d0ad8,Inflammatory bowel disease and Th2 (trait context: inflammatory bowel disease),inflammatory bowel disease
Inflammatory cytokine signaling,https://purl.org/okn/frink/kg/digcfdekg/node/factor/a04b5672a8e00d7ebcb8,Inflammatory cytokine signaling (trait context: Behet disease),Behet disease
Inflammatory pathways and cytokines,https://purl.org/okn/frink/kg/digcfdekg/node/factor/021553e53dbccc1b21bb,Inflammatory pathways and cytokines (trait context: Type 1 diabetes (T1D)),Type 1 diabetes (T1D)
Inflammatory Signaling in IBD,https://purl.org/okn/frink/kg/digcfdekg/node/factor/bb2620c0814e4640953c,Inflammatory Signaling in IBD (trait context: childhood onset asthma),childhood onset asthma
Inflammatory signaling; Th17/IL12 axis,https://purl.org/okn/frink/kg/digcfdekg/node/factor/9e81cd230e72fdd70802,Inflammatory signaling; Th17/IL12 axis (trait context: IgA nephropathy (IgAN)),IgA nephropathy (IgAN)
Inhibitors Target RTK/ERK Pathways,https://purl.org/okn/frink/kg/digcfdekg/node/factor/9fe50a66cabc8995fe6b,Inhibitors Target RTK/ERK Pathways (trait context: Astrocytoma),Astrocytoma
Innate immune activation and infection,https://purl.org/okn/frink/kg/digcfdekg/node/factor/cbab7a4cd6b0e3334784,Innate immune activation and infection (trait context: Vasculitis),Vasculitis
Innate interferon induction pathways,https://purl.org/okn/frink/kg/digcfdekg/node/factor/dd2e13ed20b500f12ec7,Innate interferon induction pathways (trait context: Encephalitis),Encephalitis
Inner ear development and morphogenesis,https://purl.org/okn/frink/kg/digcfdekg/node/factor/bc63b3fc84ecefeaee54,Inner ear development and morphogenesis (trait context: Cervical cancer),Cervical cancer
Inositol Phosphate Biosynthetic,https://purl.org/okn/frink/kg/digcfdekg/node/factor/02908ad630963783762c,Inositol Phosphate Biosynthetic (trait context: Young- and early-onset Parkinson's disease),Young- and early-onset Parkinson's disease
Insulin Deficiency Lipids,https://purl.org/okn/frink/kg/digcfdekg/node/factor/18d85348752dff3ebc1a,Insulin Deficiency Lipids (trait context: Type 2 diabetes with ophthalmic manifestations),Type 2 diabetes with ophthalmic manifestations
Insulin deficit and cochlear defects,https://purl.org/okn/frink/kg/digcfdekg/node/factor/3b5d981794dc8c7eab41,Insulin deficit and cochlear defects (trait context: Type 2 diabetes (recessive model)),Type 2 diabetes (recessive model)
Insulin resistance and diabetes pathways,https://purl.org/okn/frink/kg/digcfdekg/node/factor/bbdcddf31394657ef4c6,Insulin resistance and diabetes pathways (trait context: Type 2 diabetes (T2D) adj BMI),Type 2 diabetes (T2D) adj BMI
insulin resistance and obesity markers,https://purl.org/okn/frink/kg/digcfdekg/node/factor/71f488923aa2ce4c1c15,insulin resistance and obesity markers (trait context: Diabetic retinopathy),Diabetic retinopathy
Insulin secretion and adipose defects,https://purl.org/okn/frink/kg/digcfdekg/node/factor/e8e8d61de462001bc543,Insulin secretion and adipose defects (trait context: Type 2 diabetes (T2D)),Type 2 diabetes (T2D)
Insulin secretion and beta-cell pathology,https://purl.org/okn/frink/kg/digcfdekg/node/factor/4f4b53f4dee6a26e82a2,Insulin secretion and beta-cell pathology (trait context: type 2 diabetes mellitus),type 2 diabetes mellitus
Insulin secretion and development,https://purl.org/okn/frink/kg/digcfdekg/node/factor/d973c8b22e332be9a5bd,Insulin secretion and development (trait context: Type 2 diabetes with renal manifestations),Type 2 diabetes with renal manifestations
Insulin secretion and liver abnormalities,https://purl.org/okn/frink/kg/digcfdekg/node/factor/1d19442398be50485093,Insulin secretion and liver abnormalities (trait context: Type 2 diabetes with renal manifestations),Type 2 diabetes with renal manifestations
Insulin secretion and metabolism,https://purl.org/okn/frink/kg/digcfdekg/node/factor/d015bc24dbb9d2997a83,Insulin secretion and metabolism (trait context: Diabetic retinopathy),Diabetic retinopathy
Insulin secretion and peptide signaling,https://purl.org/okn/frink/kg/digcfdekg/node/factor/3015050a727785fa18b4,Insulin secretion and peptide signaling (trait context: Type 2 diabetes with neurological manifestations),Type 2 diabetes with neurological manifestations
Insulin secretion regulation and signaling,https://purl.org/okn/frink/kg/digcfdekg/node/factor/3e1a7331fa29b4899db4,Insulin secretion regulation and signaling (trait context: Type 2 diabetes (additive model)),Type 2 diabetes (additive model)
Insulin sensitivity and energy expenditure,https://purl.org/okn/frink/kg/digcfdekg/node/factor/d865543340360ea0144f,Insulin sensitivity and energy expenditure (trait context: type 2 diabetes mellitus),type 2 diabetes mellitus
Insulin signaling and AMPK pathways,https://purl.org/okn/frink/kg/digcfdekg/node/factor/4149541cd895b163433f,Insulin signaling and AMPK pathways (trait context: Glycogen storage disease),Glycogen storage disease
Integrated Cancer Pathway,https://purl.org/okn/frink/kg/digcfdekg/node/factor/2bb8ca814b88ae1fe141,Integrated Cancer Pathway (trait context: Hereditary breast and/or ovarian cancer syndrome),Hereditary breast and/or ovarian cancer syndrome
Integrated Cancer Pathways and Signaling,https://purl.org/okn/frink/kg/digcfdekg/node/factor/f98cc6fc559833a6bc58,Integrated Cancer Pathways and Signaling (trait context: cancer),cancer
"Integrated cancer, DNA damage, AR",https://purl.org/okn/frink/kg/digcfdekg/node/factor/68bb59b21e30a70c6c32,"Integrated cancer, DNA damage, AR (trait context: clear cell renal carcinoma)",clear cell renal carcinoma
Interferon and IL-2 Signaling,https://purl.org/okn/frink/kg/digcfdekg/node/factor/72117292d4c4c0ff6925,Interferon and IL-2 Signaling (trait context: COVID-19),COVID-19
Interferon Gamma TB Immunity,https://purl.org/okn/frink/kg/digcfdekg/node/factor/7214b34b47bdd3d9f4c3,Interferon Gamma TB Immunity (trait context: COVID-19),COVID-19
Interferon Response and Induction,https://purl.org/okn/frink/kg/digcfdekg/node/factor/f3124c9a5e119208a3fa,Interferon Response and Induction (trait context: COVID-19),COVID-19
Interferon Signaling and Response,https://purl.org/okn/frink/kg/digcfdekg/node/factor/df5ca83f43fb8b3a2512,Interferon Signaling and Response (trait context: COVID-19),COVID-19
Interferon signaling in T cells,https://purl.org/okn/frink/kg/digcfdekg/node/factor/c5d8454652f091198634,Interferon signaling in T cells (trait context: systemic lupus erythematosus),systemic lupus erythematosus
Interferon signaling with miRNA roles,https://purl.org/okn/frink/kg/digcfdekg/node/factor/d13de562337d8f166197,Interferon signaling with miRNA roles (trait context: systemic lupus erythematosus),systemic lupus erythematosus
Interferon signaling with OAS genes,https://purl.org/okn/frink/kg/digcfdekg/node/factor/7222e1c2dbe7db264031,Interferon signaling with OAS genes (trait context: systemic lupus erythematosus),systemic lupus erythematosus
Interleukin 2 Family Signaling,https://purl.org/okn/frink/kg/digcfdekg/node/factor/f407aac15d4a8ea0a43f,Interleukin 2 Family Signaling (trait context: Non-Hodgkin lymphoma),Non-Hodgkin lymphoma
Interleukin signaling and JAK-STAT,https://purl.org/okn/frink/kg/digcfdekg/node/factor/95c3e687d3cd7c9d4729,Interleukin signaling and JAK-STAT (trait context: primary biliary cirrhosis),primary biliary cirrhosis
Interleukin signaling pathways,https://purl.org/okn/frink/kg/digcfdekg/node/factor/51cbdf53d5cc7a8bc74b,Interleukin signaling pathways (trait context: multiple sclerosis),multiple sclerosis
Interleukin-10 signaling and inflammation,https://purl.org/okn/frink/kg/digcfdekg/node/factor/d582b5458c2f05564c47,Interleukin-10 signaling and inflammation (trait context: inflammatory bowel disease),inflammatory bowel disease
Intestinal coexpression regulators,https://purl.org/okn/frink/kg/digcfdekg/node/factor/78fa0bbb9315be344718,Intestinal coexpression regulators (trait context: allergic disease),allergic disease
Intestinal EMT and Crypt Abnormalities,https://purl.org/okn/frink/kg/digcfdekg/node/factor/bd2dc41bd3c92c631069,Intestinal EMT and Crypt Abnormalities (trait context: colorectal cancer),colorectal cancer
Intestinal Epithelial Program,https://purl.org/okn/frink/kg/digcfdekg/node/factor/dfaa32ce5a08a44ac18c,Intestinal Epithelial Program (trait context: Cleft palate),Cleft palate
Intestinal Epithelial Program,https://purl.org/okn/frink/kg/digcfdekg/node/factor/f9cea824290758841bbf,Intestinal Epithelial Program (trait context: IgA nephropathy (IgAN)),IgA nephropathy (IgAN)
Intestinal immune tolerance and Tregs,https://purl.org/okn/frink/kg/digcfdekg/node/factor/f624b192a3cfb22f9464,Intestinal immune tolerance and Tregs (trait context: Primary sclerosing cholangitis),Primary sclerosing cholangitis
Intraflagellar transport genes,https://purl.org/okn/frink/kg/digcfdekg/node/factor/a3ade1cebe1413a69281,Intraflagellar transport genes (trait context: Retinitis pigmentosa),Retinitis pigmentosa
Ion Channels and Synaptic Adhesion,https://purl.org/okn/frink/kg/digcfdekg/node/factor/9bec3b94bc53e36bebfc,Ion Channels and Synaptic Adhesion (trait context: COVID-19),COVID-19
Islet morphology and diabetes,https://purl.org/okn/frink/kg/digcfdekg/node/factor/23709f9434b0976d0f12,Islet morphology and diabetes (trait context: Type 2 diabetes with peripheral circulatory manifestations),Type 2 diabetes with peripheral circulatory manifestations
Jak-STAT signaling in T cells,https://purl.org/okn/frink/kg/digcfdekg/node/factor/4e772dd0b138fde869cc,Jak-STAT signaling in T cells (trait context: atopic eczema),atopic eczema
Kidney and cartilage development genes,https://purl.org/okn/frink/kg/digcfdekg/node/factor/0e23a7a69e0ea231b2c8,Kidney and cartilage development genes (trait context: Polycystic ovary syndrome; age-adjusted),Polycystic ovary syndrome; age-adjusted
Kidney and heart development signals,https://purl.org/okn/frink/kg/digcfdekg/node/factor/1fd9c763f4600fce47d3,Kidney and heart development signals (trait context: Hyperaldosteronism),Hyperaldosteronism
Kidney and Heart Nephrogenesis Genes,https://purl.org/okn/frink/kg/digcfdekg/node/factor/bb42b6c3997023cdac00,Kidney and Heart Nephrogenesis Genes (trait context: Polycystic ovary syndrome (PCOS)),Polycystic ovary syndrome (PCOS)
Kidney development and morphogenesis,https://purl.org/okn/frink/kg/digcfdekg/node/factor/d4bd9f7f5e29e0928e3f,Kidney development and morphogenesis (trait context: Type 1 diabetes with ketoacidosis),Type 1 diabetes with ketoacidosis
Kidney development and morphogenesis,https://purl.org/okn/frink/kg/digcfdekg/node/factor/5af4be07e237a51717d2,Kidney development and morphogenesis (trait context: Type 1 diabetes with neurological manifestations),Type 1 diabetes with neurological manifestations
Kidney development and morphology,https://purl.org/okn/frink/kg/digcfdekg/node/factor/aeb78802d0e4da12bc05,Kidney development and morphology (trait context: Nephroblastoma),Nephroblastoma
Kidney development and nephrogenesis regulation,https://purl.org/okn/frink/kg/digcfdekg/node/factor/5d53a369988f05a23622,Kidney development and nephrogenesis regulation (trait context: Cervical cancer),Cervical cancer
Kidney development and nephron epithelium,https://purl.org/okn/frink/kg/digcfdekg/node/factor/1a3fd5c7a27ff63cb665,Kidney development and nephron epithelium (trait context: Primary open-angle glaucoma),Primary open-angle glaucoma
Kidney development and nephron formation,https://purl.org/okn/frink/kg/digcfdekg/node/factor/04fb543772ce2e8569f6,Kidney development and nephron formation (trait context: Type 1 diabetes with renal manifestations),Type 1 diabetes with renal manifestations
Kidney development and ureteric branching,https://purl.org/okn/frink/kg/digcfdekg/node/factor/f0b245a2b6fbbd21a096,Kidney development and ureteric branching (trait context: Hyperaldosteronism),Hyperaldosteronism
Kidney development defects genes,https://purl.org/okn/frink/kg/digcfdekg/node/factor/e9f46875629a6078c65f,Kidney development defects genes (trait context: Hyperaldosteronism),Hyperaldosteronism
Kidney disease and glomerular biology,https://purl.org/okn/frink/kg/digcfdekg/node/factor/d391fc21c717644fb484,Kidney disease and glomerular biology (trait context: Primary open-angle glaucoma),Primary open-angle glaucoma
Kinase and transcription factor regulators,https://purl.org/okn/frink/kg/digcfdekg/node/factor/c1ad4fc55c87333c5bdb,Kinase and transcription factor regulators (trait context: psoriasis),psoriasis
Kinase coexpression and ECM genes,https://purl.org/okn/frink/kg/digcfdekg/node/factor/f082e2fcade0bbd29ce9,Kinase coexpression and ECM genes (trait context: Carpal tunnel syndrome),Carpal tunnel syndrome
Kinase inhibitors and SRC family,https://purl.org/okn/frink/kg/digcfdekg/node/factor/11bcacc9df1d4a62086c,Kinase inhibitors and SRC family (trait context: Myeloproliferative neoplasm),Myeloproliferative neoplasm
Kinase inhibitors and targets,https://purl.org/okn/frink/kg/digcfdekg/node/factor/3f4df0a1c7a0d312853e,Kinase inhibitors and targets (trait context: Myeloproliferative neoplasm),Myeloproliferative neoplasm
Kinase signaling regulation and AKT1,https://purl.org/okn/frink/kg/digcfdekg/node/factor/7ee985e232d47844e789,Kinase signaling regulation and AKT1 (trait context: Type 2 diabetes (additive model)),Type 2 diabetes (additive model)
Kinase targets in myeloid progenitors,https://purl.org/okn/frink/kg/digcfdekg/node/factor/21799e84d330b5818165,Kinase targets in myeloid progenitors (trait context: Lymphoma),Lymphoma
Kupffer Cells and Immune Markers,https://purl.org/okn/frink/kg/digcfdekg/node/factor/bbaa2bccd93e26e0bdaa,Kupffer Cells and Immune Markers (trait context: Primary biliary cholangitis),Primary biliary cholangitis
Kupffer cells and macrophage markers,https://purl.org/okn/frink/kg/digcfdekg/node/factor/63a77cbdd5113308928d,Kupffer cells and macrophage markers (trait context: Inflammatory bowel disease (IBD)),Inflammatory bowel disease (IBD)
Lacrimal and salivary gland inflammation,https://purl.org/okn/frink/kg/digcfdekg/node/factor/1deb661d90884e7b423a,Lacrimal and salivary gland inflammation (trait context: inflammatory bowel disease),inflammatory bowel disease
Lamellar Body and Surfactant Genes,https://purl.org/okn/frink/kg/digcfdekg/node/factor/247c9ca8a44ea7f13a58,Lamellar Body and Surfactant Genes (trait context: Interstitial lung disease),Interstitial lung disease
Laminopathies and Cartilage Signaling,https://purl.org/okn/frink/kg/digcfdekg/node/factor/6563572b345c690ecdde,Laminopathies and Cartilage Signaling (trait context: colorectal cancer),colorectal cancer
Left Ventricle Gene Signatures,https://purl.org/okn/frink/kg/digcfdekg/node/factor/b74cd1f5fea48a282928,Left Ventricle Gene Signatures (trait context: Rare cardiomyopathy),Rare cardiomyopathy
Left Ventricle Gene Upregulation,https://purl.org/okn/frink/kg/digcfdekg/node/factor/db530b196a246991126b,Left Ventricle Gene Upregulation (trait context: Rare cardiomyopathy),Rare cardiomyopathy
